2021-10-24 13:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 13:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 13:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 13:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 13:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 13:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 13:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 13:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 13:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 13:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 13:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'C'., 80 LoadKnightsAllList***
2021-10-24 13:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 13:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 14:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 14:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 14:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 14:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 14:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 14:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 14:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 14:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 14:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 14:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 14:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 14:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 15:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 15:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 15:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 15:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 15:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 15:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 15:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 15:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 15:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 15:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 15:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
